abs_delta,chat_mode,delta,head,layer,model,quantization,rank,run,shape,task
0.037244242514369336,auto,-0.037244242514369336,25,26,EleutherAI/pythia-2.8b-deduped,none,1,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.03536607784874929,auto,-0.03536607784874929,0,20,EleutherAI/pythia-2.8b-deduped,none,2,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.03504549506101251,auto,-0.03504549506101251,31,31,EleutherAI/pythia-2.8b-deduped,none,3,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.03503767852420547,auto,-0.03503767852420547,10,31,EleutherAI/pythia-2.8b-deduped,none,4,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.0343875168018796,auto,0.0343875168018796,6,24,EleutherAI/pythia-2.8b-deduped,none,5,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.0333499569845116,auto,-0.0333499569845116,30,31,EleutherAI/pythia-2.8b-deduped,none,6,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.03295179093725786,auto,-0.03295179093725786,26,31,EleutherAI/pythia-2.8b-deduped,none,7,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.03266096155304765,auto,-0.03266096155304765,5,31,EleutherAI/pythia-2.8b-deduped,none,8,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.03199227184302639,auto,0.03199227184302639,16,24,EleutherAI/pythia-2.8b-deduped,none,9,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.031907959762872085,auto,-0.031907959762872085,6,31,EleutherAI/pythia-2.8b-deduped,none,10,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
